No.,NAMA USAHA,JENIS,BARANG UNGGULAN,ALAMAT,NAMA PEMILIK,No. TLP,Media Promosi,LONGITUDE,LATITUDE,JENIS WILAYAH BANGUNAN
79,ESA JAYA,,MATERIAL,NANGOH PAMEUNGPEUK,Diki. Didik Jr.,85284117827,-,107.7263048,-7.6441197,TOKO BANGUNAN WILAYAH SELATAN
80,TB. HEMAT,,MATERIAL,PAMEUNGPEUK,,,-,107.7188692,-7.6449632,TOKO BANGUNAN WILAYAH SELATAN
81,TB. TAWEKAL,,MATERIAL,CiSANDAAN PAMULIHAN,HJ. EUIS S,8.56241E+11,,107.7180338,-7.396439,TOKO BANGUNAN WILAYAH SELATAN
82,PD. LIMA PUTRA,,MEUBELAIR,KP. PAGELARAN DEPOK. CISOMPET,ENTIN,81320396736,-,107.7613283,-7.6091569,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
83,PD. PURNAMA,,MEUBELAIR,GN. GELAP MEKARWANGI CIHURIP,H. YAYA,,,107.825454,-7.5040179,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
84,BINTANG BAJA,,BESI & BAJA,KP. PAPANGGUNGAN CIKAJANG,H. LIA,82316170008,IG.,107.6561041,-7.3443828,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
85,SUMBER BAJA MANDIRI,,BESI & BAJA,PAMEUNGPEUK,,,,107.6967273,-7.6445592,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
86,PT. TRIMITZ SINERGY MANDALA,,READY MIX,JL. SUDIRMAN NO. 19 COPONG,NEHEX BUDIMAN,0812 2283 8768,-,107.905379,-7.1927478,BATCHING PLAN
87,PT. USI,,READY MIX,JL. LETJEND IBRAHIM ADJIE GARUT,MATHEAS THAHIR,0812 1669 0090,,107.8828531,-7.1637745,BATCHING PLAN
88,CV. BGP,,READY MIX,JL. LETJEND IBRAHIM ADJIE GARUT,RIZKY/AMING,0895 1218 0718,,107.8841816,-7.1613712,BATCHING PLAN
89,PT. FAUZAN PUTRA PERKASA,,READY MIX,JL. RAYA LELES - LEUWIGOONG,YANA,,,107.9222262,-7.1128645,BATCHING PLAN
90,PT. DINAR LESTARI,,HOTMIX,BANJARAN-BANDUNG,SARIF,0812 2311 3321,-,107.5623643,-7.0491507,AMP
91,PT. FAUZAN PUTRA PERKASA,,HOTMIX,JL. RAYA LELES - LEUWIGOONG,HENDRIK,,,107.8968431,-7.1083236,AMP
92,PT. ANTEN,,HOTMIX,BAROS CIMAHI,ANTON,0821 2816 0770,,107.536357,-6.8916899,AMP
93,PT. TRISAKTI MANUNGGAL PERKASA INTERNASIONAL,,HOTMIX,SUBANG,H. ARUMAN,022 7318313,,107.6909976,-6.6720077,AMP
